sichoson,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20
我孫子市,1807,1807,1807,1808,1809,1809,1811,1813,1813,1815,1821,1829,1839,1848,1866,1896,1912,1922,1960,2000,2022,2069,2108,2223,2343,2396,2521,2578,2583,2711,2786,2936,3045,3165,3295,3429,3524,3591,3754,3806,3974,4101,4144,4214,4268,4384,4442,4592,4716,4799,4869
鴨川市,201,201,201,201,201,201,202,203,203,203,203,204,210,219,224,231,231,242,253,256,272,281,281,283,290,295,302,308,319,325,325,358,376,406,414,431,439,440,460,481,489,507,507,511,511,521,530,540,548,557,557
鎌ケ谷市,1632,1633,1633,1635,1637,1639,1640,1641,1645,1650,1657,1661,1666,1672,1683,1690,1691,1700,1721,1728,1741,1761,1798,1832,1894,1926,1969,2016,2044,2084,2129,2184,2242,2322,2403,2501,2571,2674,2767,2871,2956,3055,3108,3206,3282,3386,3469,3585,3708,3781,3829
君津市,777,777,779,779,780,792,801,802,810,817,820,830,848,872,896,920,930,953,970,997,1036,1061,1090,1126,1160,1197,1224,1274,1315,1341,1393,1415,1450,1485,1535,1575,1608,1629,1676,1712,1790,1846,1888,1933,1970,2003,2027,2059,2101,2114,2153
富津市,384,385,385,390,398,405,412,418,420,424,426,434,434,439,448,453,458,465,468,473,486,493,502,516,520,531,551,560,578,592,608,625,655,672,709,738,750,767,799,826,871,898,915,934,955,970,984,1004,1025,1033,1061
浦安市,3465,3465,3465,3465,3472,3479,3486,3487,3487,3516,3529,3543,3564,3614,3627,3655,3683,3751,3806,3857,3942,4028,4110,4166,4359,4438,4559,4721,4861,4956,5006,5188,5307,5437,5657,5749,5877,5923,6089,6240,6394,6533,6584,6690,6747,6878,7083,7226,7359,7505,7640
四街道市,1627,1627,1627,1627,1627,1628,1629,1632,1637,1639,1640,1656,1671,1684,1693,1726,1737,1754,1774,1797,1856,1893,1937,1981,1997,2060,2130,2178,2274,2372,2439,2475,2569,2636,2698,2752,2814,2939,2977,3056,3136,3208,3295,3321,3375,3396,3431,3510,3610,3663,3695
袖ケ浦市,640,641,643,643,644,648,655,665,666,674,686,699,709,718,735,745,751,770,778,802,823,838,872,912,929,960,986,1045,1087,1109,1152,1186,1223,1272,1310,1348,1386,1396,1422,1463,1505,1530,1561,1604,1640,1668,1691,1738,1769,1786,1827
八街市,995,995,996,996,996,996,997,998,1000,1000,1002,1007,1018,1040,1041,1072,1075,1110,1124,1135,1175,1209,1229,1238,1265,1308,1325,1377,1413,1453,1484,1513,1544,1582,1608,1650,1677,1724,1772,1803,1840,1880,1935,1954,1964,1978,1993,2048,2048,2065,2076
印西市,1333,1333,1333,1333,1333,1333,1333,1333,1344,1344,1345,1351,1356,1373,1374,1397,1403,1433,1458,1476,1518,1578,1639,1688,1711,1764,1840,1910,1968,2084,2135,2177,2231,2311,2402,2456,2553,2646,2700,2771,2845,2949,3062,3109,3145,3174,3236,3354,3467,3518,3547
